mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.06702494621276855,0.0008862018585205078,0.00445103645324707,0.001344919204711914,5,0.5,100,2021,"{'max_depth': 5, 'max_features': 0.5, 'n_estimators': 100, 'random_state': 2021}",0.8028846153846154,0.8743961352657005,0.8386403753251579,0.03575575994054253,27
0.16733014583587646,0.019195914268493652,0.0078078508377075195,0.002968907356262207,5,0.5,200,2021,"{'max_depth': 5, 'max_features': 0.5, 'n_estimators': 200, 'random_state': 2021}",0.8269230769230769,0.8888888888888888,0.8579059829059829,0.030982905982905984,2
0.21989011764526367,0.0027310848236083984,0.006714820861816406,5.507469177246094e-05,5,0.5,300,2021,"{'max_depth': 5, 'max_features': 0.5, 'n_estimators': 300, 'random_state': 2021}",0.8269230769230769,0.8792270531400966,0.8530750650315868,0.026151988108509883,6
0.09810483455657959,0.0054100751876831055,0.004360556602478027,0.0015546083450317383,5,0.7,100,2021,"{'max_depth': 5, 'max_features': 0.7, 'n_estimators': 100, 'random_state': 2021}",0.8173076923076923,0.8792270531400966,0.8482673727238945,0.030959680416202173,16
0.16863560676574707,0.019098520278930664,0.008119940757751465,0.0032700300216674805,5,0.7,200,2021,"{'max_depth': 5, 'max_features': 0.7, 'n_estimators': 200, 'random_state': 2021}",0.8221153846153846,0.8840579710144928,0.8530866778149386,0.030971293199554106,5
0.23711073398590088,0.006630539894104004,0.015147924423217773,0.008600950241088867,5,0.7,300,2021,"{'max_depth': 5, 'max_features': 0.7, 'n_estimators': 300, 'random_state': 2021}",0.8269230769230769,0.8840579710144928,0.8554905239687849,0.02856744704570796,3
0.06194412708282471,0.014572978019714355,0.004566073417663574,0.001685023307800293,5,1.0,100,2021,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 100, 'random_state': 2021}",0.8509615384615384,0.8454106280193237,0.8481860832404311,0.0027754552211073924,21
0.09485948085784912,0.0055664777755737305,0.0060585737228393555,0.0012274980545043945,5,1.0,200,2021,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 200, 'random_state': 2021}",0.8365384615384616,0.8502415458937198,0.8433900037160906,0.006851542177629122,26
0.1755974292755127,0.004973649978637695,0.011705517768859863,0.004820704460144043,5,1.0,300,2021,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 300, 'random_state': 2021}",0.8509615384615384,0.8599033816425121,0.8554324600520253,0.004470921590486843,4
0.11199259757995605,0.024033546447753906,0.006593465805053711,0.0038204193115234375,10,0.5,100,2021,"{'max_depth': 10, 'max_features': 0.5, 'n_estimators': 100, 'random_state': 2021}",0.8173076923076923,0.8792270531400966,0.8482673727238945,0.030959680416202173,16
0.1188204288482666,0.014318466186523438,0.005994200706481934,0.0013140439987182617,10,0.5,200,2021,"{'max_depth': 10, 'max_features': 0.5, 'n_estimators': 200, 'random_state': 2021}",0.8125,0.8888888888888888,0.8506944444444444,0.03819444444444442,8
0.24370050430297852,0.034427642822265625,0.006936907768249512,1.7881393432617188e-06,10,0.5,300,2021,"{'max_depth': 10, 'max_features': 0.5, 'n_estimators': 300, 'random_state': 2021}",0.8269230769230769,0.8743961352657005,0.8506596060943887,0.023736529171311804,10
0.12080883979797363,0.014351844787597656,0.005831599235534668,0.003039717674255371,10,0.7,100,2021,"{'max_depth': 10, 'max_features': 0.7, 'n_estimators': 100, 'random_state': 2021}",0.8221153846153846,0.8695652173913043,0.8458403010033444,0.02372491638795987,25
0.2260444164276123,0.015886545181274414,0.00664830207824707,0.001956939697265625,10,0.7,200,2021,"{'max_depth': 10, 'max_features': 0.7, 'n_estimators': 200, 'random_state': 2021}",0.8173076923076923,0.8792270531400966,0.8482673727238945,0.030959680416202173,16
0.2773466110229492,0.029527664184570312,0.00792992115020752,0.0009199380874633789,10,0.7,300,2021,"{'max_depth': 10, 'max_features': 0.7, 'n_estimators': 300, 'random_state': 2021}",0.8317307692307693,0.8695652173913043,0.8506479933110368,0.018917224080267525,12
0.09482192993164062,0.05176091194152832,0.004871010780334473,0.0017679929733276367,10,1.0,100,2021,"{'max_depth': 10, 'max_features': 1, 'n_estimators': 100, 'random_state': 2021}",0.8605769230769231,0.8599033816425121,0.8602401523597176,0.00033677071720550344,1
0.09432804584503174,0.005525946617126465,0.006907939910888672,0.0015919208526611328,10,1.0,200,2021,"{'max_depth': 10, 'max_features': 1, 'n_estimators': 200, 'random_state': 2021}",0.8605769230769231,0.8454106280193237,0.8529937755481234,0.0075831475287997385,7
0.16783547401428223,0.0012943744659423828,0.010738492012023926,0.002352595329284668,10,1.0,300,2021,"{'max_depth': 10, 'max_features': 1, 'n_estimators': 300, 'random_state': 2021}",0.8605769230769231,0.8405797101449275,0.8505783166109253,0.009998606465997817,15
0.08574461936950684,0.005926609039306641,0.00551605224609375,0.0027267932891845703,20,0.5,100,2021,"{'max_depth': 20, 'max_features': 0.5, 'n_estimators': 100, 'random_state': 2021}",0.8125,0.8792270531400966,0.8458635265700483,0.03336352657004832,23
0.14076197147369385,0.014841914176940918,0.004770874977111816,7.283687591552734e-05,20,0.5,200,2021,"{'max_depth': 20, 'max_features': 0.5, 'n_estimators': 200, 'random_state': 2021}",0.8125,0.8888888888888888,0.8506944444444444,0.03819444444444442,8
