mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.08730196952819824,0.006011962890625,0.0012229681015014648,1.895427703857422e-05,5,0.5,100,2021,"{'max_depth': 5, 'max_features': 0.5, 'n_estimators': 100, 'random_state': 2021}",0.7932692307692307,0.8695652173913043,0.8314172240802675,0.0381479933110368,14
0.19009602069854736,0.007488131523132324,0.0016605854034423828,5.4836273193359375e-06,5,0.5,200,2021,"{'max_depth': 5, 'max_features': 0.5, 'n_estimators': 200, 'random_state': 2021}",0.7980769230769231,0.8695652173913043,0.8338210702341138,0.0357441471571906,12
0.26285386085510254,0.010581016540527344,0.003753185272216797,0.001589059829711914,5,0.5,300,2021,"{'max_depth': 5, 'max_features': 0.5, 'n_estimators': 300, 'random_state': 2021}",0.7980769230769231,0.8695652173913043,0.8338210702341138,0.0357441471571906,12
0.09766650199890137,0.004872560501098633,0.001298069953918457,7.998943328857422e-05,5,0.7,100,2021,"{'max_depth': 5, 'max_features': 0.7, 'n_estimators': 100, 'random_state': 2021}",0.7740384615384616,0.8792270531400966,0.8266327573392791,0.052594295800817537,18
0.19832193851470947,0.009073138236999512,0.0021691322326660156,0.0005528926849365234,5,0.7,200,2021,"{'max_depth': 5, 'max_features': 0.7, 'n_estimators': 200, 'random_state': 2021}",0.7932692307692307,0.8840579710144928,0.8386636008918618,0.045394370122631034,10
0.2707643508911133,0.01699042320251465,0.002276182174682617,0.00019693374633789062,5,0.7,300,2021,"{'max_depth': 5, 'max_features': 0.7, 'n_estimators': 300, 'random_state': 2021}",0.7932692307692307,0.8840579710144928,0.8386636008918618,0.045394370122631034,10
0.06992900371551514,0.007037997245788574,0.0019664764404296875,0.0001266002655029297,5,1.0,100,2021,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 100, 'random_state': 2021}",0.8461538461538461,0.8502415458937198,0.8481976960237829,0.0020438498699368313,3
0.12320446968078613,0.0013966560363769531,0.0016293525695800781,2.6226043701171875e-06,5,1.0,200,2021,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 200, 'random_state': 2021}",0.8365384615384616,0.8454106280193237,0.8409745447788926,0.0044360832404310435,9
0.18851101398468018,0.012587904930114746,0.002826094627380371,0.0007268190383911133,5,1.0,300,2021,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 300, 'random_state': 2021}",0.8509615384615384,0.8405797101449275,0.845770624303233,0.005190914158305471,7
0.13441801071166992,0.029232025146484375,0.0022389888763427734,0.0,10,0.5,100,2021,"{'max_depth': 10, 'max_features': 0.5, 'n_estimators': 100, 'random_state': 2021}",0.7980769230769231,0.8647342995169082,0.8314056112969157,0.03332868821999252,15
0.2051330804824829,0.037970900535583496,0.0020554065704345703,0.00034356117248535156,10,0.5,200,2021,"{'max_depth': 10, 'max_features': 0.5, 'n_estimators': 200, 'random_state': 2021}",0.7884615384615384,0.8695652173913043,0.8290133779264214,0.040551839464882944,16
0.2370694875717163,0.012454628944396973,0.003988504409790039,0.00031638145446777344,10,0.5,300,2021,"{'max_depth': 10, 'max_features': 0.5, 'n_estimators': 300, 'random_state': 2021}",0.7884615384615384,0.8695652173913043,0.8290133779264214,0.040551839464882944,16
0.13350462913513184,0.0006585121154785156,0.001209855079650879,2.4199485778808594e-05,10,0.7,100,2021,"{'max_depth': 10, 'max_features': 0.7, 'n_estimators': 100, 'random_state': 2021}",0.7403846153846154,0.855072463768116,0.7977285395763657,0.05734392419175027,26
0.20639550685882568,0.003655552864074707,0.0015358924865722656,1.2874603271484375e-05,10,0.7,200,2021,"{'max_depth': 10, 'max_features': 0.7, 'n_estimators': 200, 'random_state': 2021}",0.75,0.855072463768116,0.802536231884058,0.05253623188405798,22
0.25261151790618896,0.042023539543151855,0.0017834901809692383,0.00031363964080810547,10,0.7,300,2021,"{'max_depth': 10, 'max_features': 0.7, 'n_estimators': 300, 'random_state': 2021}",0.75,0.855072463768116,0.802536231884058,0.05253623188405798,22
0.2914942502975464,0.004226565361022949,0.0024657249450683594,0.0006444454193115234,10,1.0,100,2021,"{'max_depth': 10, 'max_features': 1, 'n_estimators': 100, 'random_state': 2021}",0.8509615384615384,0.8405797101449275,0.845770624303233,0.005190914158305471,7
0.5373854637145996,0.053839683532714844,0.002908468246459961,4.172325134277344e-05,10,1.0,200,2021,"{'max_depth': 10, 'max_features': 1, 'n_estimators': 200, 'random_state': 2021}",0.8605769230769231,0.8502415458937198,0.8554092344853215,0.00516768859160166,1
0.5183899402618408,0.07033991813659668,0.003060460090637207,2.3484230041503906e-05,10,1.0,300,2021,"{'max_depth': 10, 'max_features': 1, 'n_estimators': 300, 'random_state': 2021}",0.8605769230769231,0.8454106280193237,0.8529937755481234,0.0075831475287997385,2
0.13817298412322998,0.003702998161315918,0.001704096794128418,0.0004769563674926758,20,0.5,100,2021,"{'max_depth': 20, 'max_features': 0.5, 'n_estimators': 100, 'random_state': 2021}",0.7836538461538461,0.8647342995169082,0.8241940728353772,0.04054022668153101,21
0.2166132926940918,0.015122413635253906,0.001656651496887207,1.4662742614746094e-05,20,0.5,200,2021,"{'max_depth': 20, 'max_features': 0.5, 'n_estimators': 200, 'random_state': 2021}",0.7932692307692307,0.8599033816425121,0.8265863062058714,0.0333170754366407,19
