mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.0735694169998169,0.0026525259017944336,0.002874016761779785,2.6106834411621094e-05,5,0.5,100,2021,"{'max_depth': 5, 'max_features': 0.5, 'n_estimators': 100, 'random_state': 2021}",0.8028846153846154,0.8743961352657005,0.8386403753251579,0.03575575994054253,27
0.13759350776672363,0.0003495216369628906,0.004776120185852051,4.494190216064453e-05,5,0.5,200,2021,"{'max_depth': 5, 'max_features': 0.5, 'n_estimators': 200, 'random_state': 2021}",0.8269230769230769,0.8888888888888888,0.8579059829059829,0.030982905982905984,2
0.20738744735717773,0.008120536804199219,0.010372042655944824,0.0038529634475708008,5,0.5,300,2021,"{'max_depth': 5, 'max_features': 0.5, 'n_estimators': 300, 'random_state': 2021}",0.8269230769230769,0.8792270531400966,0.8530750650315868,0.026151988108509883,6
0.06429147720336914,0.003333568572998047,0.0027550458908081055,1.895427703857422e-05,5,0.7,100,2021,"{'max_depth': 5, 'max_features': 0.7, 'n_estimators': 100, 'random_state': 2021}",0.8173076923076923,0.8792270531400966,0.8482673727238945,0.030959680416202173,16
0.14481890201568604,0.009424805641174316,0.004837393760681152,0.0002824068069458008,5,0.7,200,2021,"{'max_depth': 5, 'max_features': 0.7, 'n_estimators': 200, 'random_state': 2021}",0.8221153846153846,0.8840579710144928,0.8530866778149386,0.030971293199554106,5
0.22235465049743652,0.009504556655883789,0.006815910339355469,6.198883056640625e-05,5,0.7,300,2021,"{'max_depth': 5, 'max_features': 0.7, 'n_estimators': 300, 'random_state': 2021}",0.8269230769230769,0.8840579710144928,0.8554905239687849,0.02856744704570796,3
0.051230430603027344,0.000423431396484375,0.005177021026611328,0.00043702125549316406,5,1.0,100,2021,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 100, 'random_state': 2021}",0.8509615384615384,0.8454106280193237,0.8481860832404311,0.0027754552211073924,21
0.10871899127960205,0.0007251501083374023,0.0050019025802612305,0.00019991397857666016,5,1.0,200,2021,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 200, 'random_state': 2021}",0.8365384615384616,0.8502415458937198,0.8433900037160906,0.006851542177629122,26
0.1563495397567749,0.004206538200378418,0.009563446044921875,0.0012054443359375,5,1.0,300,2021,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 300, 'random_state': 2021}",0.8509615384615384,0.8599033816425121,0.8554324600520253,0.004470921590486843,4
0.07095861434936523,0.003520488739013672,0.002705812454223633,2.193450927734375e-05,10,0.5,100,2021,"{'max_depth': 10, 'max_features': 0.5, 'n_estimators': 100, 'random_state': 2021}",0.8173076923076923,0.8792270531400966,0.8482673727238945,0.030959680416202173,16
0.13069260120391846,0.00047147274017333984,0.0047724246978759766,4.0531158447265625e-05,10,0.5,200,2021,"{'max_depth': 10, 'max_features': 0.5, 'n_estimators': 200, 'random_state': 2021}",0.8125,0.8888888888888888,0.8506944444444444,0.03819444444444442,8
0.20160448551177979,0.02550327777862549,0.01461172103881836,0.008048534393310547,10,0.5,300,2021,"{'max_depth': 10, 'max_features': 0.5, 'n_estimators': 300, 'random_state': 2021}",0.8269230769230769,0.8743961352657005,0.8506596060943887,0.023736529171311804,10
0.07422053813934326,0.0026766061782836914,0.0027135610580444336,7.641315460205078e-05,10,0.7,100,2021,"{'max_depth': 10, 'max_features': 0.7, 'n_estimators': 100, 'random_state': 2021}",0.8221153846153846,0.8695652173913043,0.8458403010033444,0.02372491638795987,25
0.1464325189590454,0.0008705854415893555,0.005376935005187988,0.00039899349212646484,10,0.7,200,2021,"{'max_depth': 10, 'max_features': 0.7, 'n_estimators': 200, 'random_state': 2021}",0.8173076923076923,0.8792270531400966,0.8482673727238945,0.030959680416202173,16
0.32158851623535156,0.0005092620849609375,0.006825566291809082,0.00015866756439208984,10,0.7,300,2021,"{'max_depth': 10, 'max_features': 0.7, 'n_estimators': 300, 'random_state': 2021}",0.8317307692307693,0.8695652173913043,0.8506479933110368,0.018917224080267525,12
0.06841707229614258,0.010078191757202148,0.0039740800857543945,0.001034855842590332,10,1.0,100,2021,"{'max_depth': 10, 'max_features': 1, 'n_estimators': 100, 'random_state': 2021}",0.8605769230769231,0.8599033816425121,0.8602401523597176,0.00033677071720550344,1
0.1101219654083252,0.022142887115478516,0.0054700374603271484,0.00019598007202148438,10,1.0,200,2021,"{'max_depth': 10, 'max_features': 1, 'n_estimators': 200, 'random_state': 2021}",0.8605769230769231,0.8454106280193237,0.8529937755481234,0.0075831475287997385,7
0.18001437187194824,0.0006062984466552734,0.00882256031036377,0.0009454488754272461,10,1.0,300,2021,"{'max_depth': 10, 'max_features': 1, 'n_estimators': 300, 'random_state': 2021}",0.8605769230769231,0.8405797101449275,0.8505783166109253,0.009998606465997817,15
0.08761370182037354,0.0035065412521362305,0.005682587623596191,1.6570091247558594e-05,20,0.5,100,2021,"{'max_depth': 20, 'max_features': 0.5, 'n_estimators': 100, 'random_state': 2021}",0.8125,0.8792270531400966,0.8458635265700483,0.03336352657004832,23
0.12995195388793945,0.018512964248657227,0.0079420804977417,0.0032390356063842773,20,0.5,200,2021,"{'max_depth': 20, 'max_features': 0.5, 'n_estimators': 200, 'random_state': 2021}",0.8125,0.8888888888888888,0.8506944444444444,0.03819444444444442,8
